"clip","id","probability","speaker","speaker_gender","clip_rank","clip_score","syllablespersec","npviV_all","npviV_nophrasefinal","pitchpvi","f0var","st_pitchpvi","stvar","duration","num_of_words","wordspersec","num_of_syllables","st_pitchpvi_new","stvar_new","npviV_nophrasefinal_median","npviV_all_median"
"F1_01",160,0.333333333,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1160,0.333333333,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",523,0.4,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",81,0.8,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",224,1,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1191,0.2,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1095,0,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",236,0.6,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1050,1,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",578,0.666666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1069,0.6,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",465,1,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",437,0.5,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1056,0.166666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1029,0.5,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",1149,0.666666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",587,0.5,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",227,0.6,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",467,0.333333333,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",894,0.333333333,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",602,0.166666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",514,0.166666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",397,0.166666667,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",396,NA,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",620,0,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",881,0,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",239,NA,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
"F1_01",88,0.5,"F1","female",15,0.016965039,6.03708495,43.9034451287834,45.8953988895154,23.26747439,110.437961,4.46193596,6.375852742,2.319,10,4.312203536,14,4.188741487,5.796322358,52.10389522,48.98347357
